Time,gaze
0,0.30585
0.02,0.53174
0.04,0.47586
0.06,0.50027
0.08,0.48463
0.1,0.53004
0.12,0.60090
0.14,0.46876
0.16,0.61404
0.18,0.56974
0.2,0.61499
0.22,0.64168
0.24,0.68141
0.26,0.66356
0.28,0.64407
0.3,0.69060
0.32,0.68618
0.34,0.68518
0.36,0.71470
0.38,0.75637
0.4,0.72706
0.42,0.73455
0.44,0.66822
0.46,0.73124
0.48,0.64885
0.5,0.78107
0.52,0.70058
0.54,0.81393
0.56,0.89960
0.58,0.72998
0.6,0.81540
0.62,0.76731
0.64,0.71664
0.66,0.69895
0.68,0.76479
0.7,0.80129
0.72,0.74325
0.74,0.64317
0.76,0.65905
0.78,0.69136
0.8,0.76143
0.82,0.69778
0.84,0.68926
0.86,0.72196
0.88,0.63901
0.9,0.63189
0.92,0.61366
0.94,0.51960
0.96,0.61692
0.98,0.59858
1,0.61066
1.02,0.48571
1.04,0.48706
1.06,0.55674
1.08,0.50783
1.1,0.54159
1.12,0.41040
1.14,0.44387
1.16,0.37990
1.18,0.40869
1.2,0.34810
1.22,0.37799
1.24,0.38381
1.26,0.34181
1.28,0.19570
1.3,0.31101
1.32,0.26409
1.34,0.16715
1.36,0.15250
1.38,0.17462
1.4,0.18027
1.42,0.10644
1.44,0.02527
1.46,0.09795
1.48,0.06993
1.5,0.16119
1.52,-0.04744
1.54,0.12122
1.56,0.06053
1.58,-0.03303
1.6,0.01356
1.62,-0.08546
1.64,-0.06194
1.66,-0.16770
1.68,-0.14681
1.7,-0.22088
1.72,-0.26782
1.74,-0.22105
1.76,-0.25832
1.78,-0.21411
1.8,-0.19603
1.82,-0.28426
1.84,-0.28848
1.86,-0.29704
1.88,-0.40469
1.9,-0.32102
1.92,-0.34690
1.94,-0.36207
1.96,-0.42634
1.98,-0.48124
2,-0.40473
2.02,-0.38571
2.04,-0.34298
2.06,-0.36119
2.08,-0.35189
2.1,-0.41225
2.12,-0.37821
2.14,-0.45076
2.16,-0.41263
2.18,-0.40022
2.2,-0.31425
2.22,-0.43764
2.24,-0.51360
2.26,-0.38043
2.28,-0.48738
2.3,-0.44850
2.32,-0.45698
2.34,-0.48362
2.36,-0.36662
2.38,-0.39785
2.4,-0.45173
2.42,-0.41032
2.44,-0.42731
2.46,-0.36596
2.48,-0.40595
2.5,-0.41486
2.52,-0.39755
2.54,-0.37523
2.56,-0.32625
2.58,-0.37330
2.6,-0.31779
2.62,-0.27644
2.64,-0.16643
2.66,-0.22453
2.68,-0.39998
2.7,-0.25923
2.72,-0.23587
2.74,-0.18182
2.76,-0.10070
2.78,-0.12292
2.8,-0.25559
2.82,-0.10510
2.84,-0.09467
2.86,-0.05869
2.88,0.00966
2.9,-0.09147
2.92,0.03985
2.94,-0.07614
2.96,0.03115
2.98,0.06988
3,0.18745
3.02,0.06059
3.04,0.03357
3.06,0.17522
3.08,0.13042
3.1,0.26428
3.12,0.17323
3.14,0.18723
3.16,0.31567
3.18,0.27992
3.2,0.34771
3.22,0.24797
3.24,0.42361
3.26,0.33291
3.28,0.42433
3.3,0.35378
3.32,0.34680
3.34,0.43141
3.36,0.47247
3.38,0.56163
3.4,0.51888
3.42,0.55524
3.44,0.56996
3.46,0.70953
3.48,0.52955
3.5,0.64905
3.52,0.59404
3.54,0.62911
3.56,0.60265
3.58,0.70133
3.6,0.59300
3.62,0.60144
3.64,0.66823
3.66,0.63104
3.68,0.73366
3.7,0.75337
3.72,0.67761
3.74,0.76164
3.76,0.69571
3.78,0.73215
3.8,0.73941
3.82,0.83677
3.84,0.74596
3.86,0.70258
3.88,0.70363
3.9,0.81000
3.92,0.66618
3.94,0.72490
3.96,0.72733
3.98,0.62090
4,0.71621
4.02,0.78518
4.04,0.74116
4.06,0.67835
4.08,0.75084
4.1,0.73428
4.12,0.80101
4.14,0.65322
4.16,0.66069
4.18,0.37121
4.2,0.35051
4.22,0.34934
4.24,0.32652
4.26,0.28333
4.28,0.22337
4.3,0.26042
4.32,0.20309
4.34,0.20377
4.36,0.21204
4.38,0.24711
4.4,0.24635
4.42,0.13323
4.44,0.18133
4.46,0.18662
4.48,0.12428
4.5,0.02415
4.52,-0.02229
4.54,0.10418
4.56,0.08895
4.58,0.03540
4.6,-0.05296
4.62,0.05033
4.64,0.01617
4.66,-0.06919
4.68,-0.10053
4.7,-0.20983
4.72,-0.09700
4.74,-0.23790
4.76,-0.14580
4.78,-0.16594
4.8,-0.22022
4.82,-0.16833
4.84,-0.28568
4.86,-0.26215
4.88,-0.27367
4.9,-0.32273
4.92,-0.37749
4.94,-0.31614
4.96,-0.37730
4.98,-0.42849
5,-0.44721
5.02,-0.45204
5.04,-0.36370
5.06,-0.49118
5.08,-0.52670
5.1,-0.58571
5.12,-0.61065
5.14,-0.66118
5.16,-0.57061
5.18,-0.59635
5.2,-0.66400
5.22,-0.70107
5.24,-0.65653
5.26,-0.67921
5.28,-0.73187
5.3,-0.66131
5.32,-0.67986
5.34,-0.69935
5.36,-0.66729
5.38,-0.74677
5.4,-0.65360
5.42,-0.77899
5.44,-0.70836
5.46,-0.70732
5.48,-0.75628
5.5,-0.72902
5.52,-0.81328
5.54,-0.82587
5.56,-0.76155
5.58,-0.78792
5.6,-0.72090
5.62,-0.74719
5.64,-0.71522
5.66,-0.72664
5.68,-0.72808
5.7,-0.72847
5.72,-0.74579
5.74,-0.74360
5.76,-0.61100
5.78,-0.79242
5.8,-0.70452
5.82,-0.63504
5.84,-0.65356
5.86,-0.59262
5.88,-0.62343
5.9,-0.70117
5.92,-0.64092
5.94,-0.68043
5.96,-0.54604
5.98,-0.50761
6,-0.58574
6.02,-0.51982
6.04,-0.55026
6.06,-0.58386
6.08,-0.51597
6.1,-0.55397
6.12,-0.48401
6.14,-0.42531
6.16,-0.37947
6.18,-0.33053
6.2,-0.39116
6.22,-0.34158
6.24,-0.31088
6.26,-0.28248
6.28,-0.43093
6.3,-0.30520
6.32,-0.20422
6.34,-0.27764
6.36,-0.18681
6.38,-0.13495
6.4,-0.24890
6.42,-0.14102
6.44,-0.09708
6.46,-0.08591
6.48,-0.14057
6.5,-0.02446
6.52,-0.04775
6.54,0.04335
6.56,0.04542
6.58,0.01783
6.6,0.07526
6.62,0.05277
6.64,0.07276
6.66,0.04888
6.68,0.13565
6.7,0.20707
6.72,0.19131
6.74,0.20276
6.76,0.19009
6.78,0.21256
6.8,0.29270
6.82,0.19692
6.84,0.39033
6.86,0.29891
6.88,0.42501
6.9,0.38871
6.92,0.32198
6.94,0.39180
6.96,0.37937
6.98,0.40038
7,0.42693
7.02,0.36906
7.04,0.37392
7.06,0.39155
7.08,0.35095
7.1,0.41219
7.12,0.44198
7.14,0.44739
7.16,0.44805
7.18,0.42129
7.2,0.48228
7.22,0.34126
7.24,0.42408
