Time,bodysync
0,0.01512
0.02,0.07104
0.04,0.19123
0.06,0.13750
0.08,0.58109
0.1,0.62736
0.12,0.60166
0.14,0.77344
0.16,0.80879
0.18,0.80669
0.2,0.98303
0.22,0.92225
0.24,0.95096
0.26,0.93158
0.28,1.03632
0.3,0.98418
0.32,1.01525
0.34,0.89016
0.36,0.90399
0.38,0.76615
0.4,0.83783
0.42,0.70870
0.44,0.63438
0.46,0.54728
0.48,0.33351
0.5,0.37167
0.52,0.36425
0.54,-0.04322
0.56,-0.16348
0.58,-0.25818
0.6,-0.18137
0.62,-0.34611
0.64,-0.37331
0.66,-0.49908
0.68,-0.63021
0.7,-0.70625
0.72,-0.81515
0.74,-0.79445
0.76,-1.00562
0.78,-0.98861
0.8,-0.96285
0.82,-0.85305
0.84,-1.06045
0.86,-1.07498
0.88,-1.01044
0.9,-0.85223
0.92,-0.90109
0.94,-0.71758
0.96,-0.90405
0.98,-0.58505
1,-0.50500
1.02,-0.60622
1.04,-0.37909
1.06,-0.18776
1.08,-0.16799
1.1,0.01719
1.12,0.24024
1.14,0.18455
1.16,0.25052
1.18,0.31809
1.2,0.53360
1.22,0.56183
1.24,0.65171
1.26,0.73752
1.28,0.86833
1.3,0.79100
1.32,0.80269
1.34,0.76732
1.36,1.08258
1.38,1.00464
1.4,1.11884
1.42,0.98385
1.44,0.89915
1.46,0.95847
1.48,0.86406
1.5,0.70868
1.52,0.66671
1.54,0.79793
1.56,0.59562
1.58,0.50401
1.6,0.34600
1.62,0.20566
1.64,0.22156
1.66,0.02932
1.68,-0.13606
1.7,-0.19811
1.72,-0.36949
1.74,-0.38770
1.76,-0.41328
1.78,-0.66479
1.8,-0.57026
1.82,-0.81585
1.84,-0.81832
1.86,-0.95505
1.88,-0.95211
1.9,-0.96479
1.92,-1.02524
1.94,-1.05592
1.96,-1.05036
1.98,-1.04555
2,-1.07666
2.02,-0.93114
2.04,-0.82543
2.06,-0.72132
2.08,-0.66854
2.1,-0.44084
2.12,-0.52090
2.14,-0.48489
2.16,-0.19491
