Time,neuralsync
0,0.17813
0.02,0.15294
0.04,0.15865
0.06,0.41358
0.08,0.48095
0.1,0.51351
0.12,0.48727
0.14,0.76206
0.16,0.84889
0.18,0.60634
0.2,0.94668
0.22,0.96176
0.24,0.84355
0.26,0.87424
0.28,0.79004
0.3,0.67301
0.32,0.64416
0.34,0.72519
0.36,0.34313
0.38,0.40046
0.4,0.27634
0.42,0.06340
0.44,-0.03610
0.46,-0.25829
0.48,-0.32708
0.5,-0.35907
0.52,-0.43931
0.54,-0.66384
0.56,-0.35905
0.58,-0.79939
0.6,-0.79284
0.62,-0.87630
0.64,-0.92451
0.66,-0.76886
0.68,-0.94428
0.7,-0.74355
0.72,-0.72705
0.74,-0.89449
0.76,-0.62060
0.78,-0.71026
0.8,-0.28106
0.82,-0.49295
0.84,-0.44019
0.86,-0.42304
0.88,-0.24328
0.9,-0.05243
0.92,0.02497
0.94,0.11846
0.96,0.28377
0.98,0.43813
1,0.70096
1.02,0.47311
1.04,0.66448
1.06,0.68809
1.08,0.68249
1.1,0.74390
1.12,0.80201
1.14,0.97170
1.16,0.87343
1.18,0.81753
1.2,0.89718
1.22,0.81577
1.24,0.70486
1.26,0.69408
1.28,0.49147
1.3,0.54727
1.32,0.43450
1.34,0.24445
1.36,0.05781
1.38,0.22366
1.4,-0.02759
1.42,0.16048
1.44,-0.31504
1.46,-0.26544
1.48,-0.48976
1.5,-0.50990
1.52,-0.53305
1.54,-0.76860
1.56,-0.76129
1.58,-0.78740
1.6,-0.83343
1.62,-0.81509
1.64,-0.79060
1.66,-0.81659
1.68,-0.86893
1.7,-0.91396
1.72,-0.96526
1.74,-0.88849
1.76,-0.82065
1.78,-0.64331
1.8,-0.68347
1.82,-0.69953
1.84,-0.43445
1.86,-0.49382
1.88,-0.40217
1.9,-0.25706
1.92,-0.09379
1.94,-0.28803
1.96,-0.06444
1.98,0.15867
2,0.19608
2.02,0.23446
2.04,0.35132
2.06,0.62386
2.08,0.51418
2.1,0.69931
2.12,0.76880
2.14,0.69892
2.16,0.83494
2.18,0.78422
2.2,0.79858
2.22,0.76898
2.24,0.98252
2.26,0.86015
2.28,0.84128
2.3,0.77201
2.32,1.04587
2.34,0.91166
2.36,0.78934
2.38,0.69132
2.4,0.55952
2.42,0.68741
2.44,0.62738
2.46,0.39319
2.48,0.58145
2.5,0.47057
2.52,0.22151
2.54,0.18461
2.56,0.11828
2.58,0.09696
2.6,-0.01411
2.62,-0.24356
2.64,-0.01142
2.66,-0.20480
2.68,-0.18583
2.7,-0.25922
2.72,-0.47508
2.74,-0.48598
2.76,-0.50826
2.78,-0.56214
2.8,-0.70774
2.82,-0.80013
2.84,-0.77618
2.86,-0.89543
2.88,-0.90041
2.9,-1.07117
2.92,-0.87680
2.94,-0.99846
2.96,-0.95552
2.98,-0.90292
3,-0.85757
3.02,-0.68503
3.04,-0.83229
3.06,-0.96679
3.08,-0.77928
3.1,-0.81319
3.12,-0.66957
3.14,-0.72889
3.16,-0.67726
3.18,-0.59923
3.2,-0.54852
3.22,-0.60230
3.24,-0.41753
3.26,-0.28025
3.28,-0.08471
3.3,-0.15822
3.32,-0.08899
3.34,0.08396
3.36,0.15786
3.38,0.34142
3.4,0.31654
3.42,0.33108
3.44,0.53969
3.46,0.62889
3.48,0.49512
3.5,0.62124
3.52,0.49557
3.54,0.68031
3.56,0.67572
