Time,value
0.0,-0.06397
0.02,0.23827
0.04,0.16328
0.06,0.24841
0.08,0.19901
0.1,0.47856
0.12,0.90534
0.14,0.8231
0.16,1.05941
0.18,0.93822
0.2,1.0425
0.22,1.04935
0.24,0.63663
0.26,1.30757
0.28,1.25114
0.3,1.26998
0.32,0.733
0.34,0.72024
0.36,0.92407
0.38,1.00978
0.4,1.17389
0.42,1.0475
0.44,1.14188
0.46,0.79551
0.48,0.9701
0.5,0.92144
0.52,0.58151
0.54,1.09483
0.56,0.71892
0.58,0.78993
0.6,0.24407
0.62,0.12131
0.64,0.12679
0.66,0.09338
0.68,0.18677
0.7,0.00219
0.72,-0.2569
0.74,-0.465
0.76,-0.4313
0.78,-0.06518
0.8,-0.63477
0.82,-0.4264
0.84,-0.42759
0.86,-0.9446
0.88,-0.58887
0.9,-0.2938
0.92,-1.13363
0.94,-0.71029
0.96,-0.64641
0.98,-0.80439
1.0,-0.44629
1.02,-0.5474
1.04,-0.8502
1.06,-0.22073
1.08,-0.19601
1.1,-0.05517
1.12,0.14689
1.14,-0.03843
1.16,-0.00985
1.18,-0.27098
1.2,0.30438
1.22,0.09655
1.24,0.23655
1.26,0.13402
1.28,0.30804
1.3,0.51512
1.32,1.06531
1.34,0.32661
1.36,0.55693
1.38,1.06244
1.4,1.4383
1.42,1.28978
1.44,0.73001
1.46,0.62678
1.48,1.388
1.5,1.14741
1.52,1.07452
1.54,1.61169
1.56,1.6454
1.58,1.40154
1.6,1.40566
1.62,1.42465
1.64,1.67649
1.66,1.38512
1.68,1.30327
1.7,1.24518
1.72,0.64281
1.74,1.27466
1.76,1.1058
1.78,0.9065
1.8,0.18286
1.82,0.41623
1.84,0.6806
1.86,-0.08935
1.88,0.20992
1.9,0.40337
1.92,-0.28566
1.94,0.34041
1.96,-0.02531
1.98,-0.29799
2.0,-0.27145
2.02,-0.27665
2.04,-0.48886
2.06,-0.30508
2.08,-0.82146
2.1,-0.81581
2.12,-0.49874
2.14,-0.79009
2.16,-1.04483
2.18,-0.60613
2.2,-0.4844
2.22,-0.96004
2.24,-1.182
2.26,-0.8492
2.28,-0.82192
2.3,-0.81935
2.32,-0.34539
2.34,-0.89716
2.36,-0.2619
2.38,-0.82426
2.4,-0.62838
2.42,-0.19335
2.44,0.01526
2.46,0.03514
2.48,-0.004
2.5,0.03559
2.52,0.12843
2.54,0.32343
2.56,0.22286
2.58,0.42059
2.6,0.5748
2.62,0.50739
2.64,0.76804
2.66,0.78189
2.68,1.19924
2.7,0.82609
2.72,0.67776
2.74,0.72237
2.76,0.83373
2.78,1.07977
2.8,0.76664
2.82,0.9392
2.84,1.28404
2.86,0.15562
